team,player,category,CAR,YDS,AVG,TD,LONG
DAL,Brandon Aubrey,rushing,1,6,6.0,0,6
DAL,CeeDee Lamb,rushing,1,2,2.0,0,2
DAL,Dak Prescott,rushing,53,177,3.04,2,14
DAL,Hunter Luepke,rushing,16,71,4.09,0,9
DAL,Jake Ferguson,rushing,1,1,1.0,0,1
DAL,Javonte Williams,rushing,252,1201,4.78,11,66
DAL,Jaydon Blue,rushing,38,129,2.7,1,27
DAL,Joe Milton III,rushing,5,50,8.9,0,23
DAL,KaVontae Turpin,rushing,17,89,4.64,0,25
DAL,Malik Davis,rushing,52,250,5.1,2,43
DAL,Miles Sanders,rushing,20,117,6.22,1,49
DAL,Phil Mafah,rushing,5,18,3.6,1,8
DAL,Ryan Flournoy,rushing,4,25,6.67,0,12
