team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
DEN,Adam Prentice,defensive,11,3,0.0,0,0,0,0
DEN,Adam Trautman,defensive,1,0,0.0,0,0,0,0
DEN,Alex Singleton,defensive,135,54,1.0,3,4,3,0
DEN,Brandon Jones,defensive,78,43,0.5,0,7,2,0
DEN,Courtland Sutton,defensive,2,2,0.0,0,0,0,0
DEN,D.J. Jones,defensive,39,21,3.0,4,1,6,0
DEN,Delarrin Turner-Yell,defensive,1,0,0.0,0,0,0,0
DEN,Devon Key,defensive,28,19,0.0,0,1,0,0
DEN,Dondrea Tillman,defensive,41,13,4.0,3,3,9,0
DEN,Dre Greenlaw,defensive,43,15,1.0,2,2,2,0
DEN,Eyioma Uwazurike,defensive,39,16,3.5,5,0,5,0
DEN,Garret Wallow,defensive,5,0,0.0,0,0,0,0
DEN,JL Skinner,defensive,12,8,0.0,0,0,0,0
DEN,Ja'Quan McMillian,defensive,56,40,4.0,5,9,4,1
DEN,Jahdae Barron,defensive,35,24,0.0,0,5,0,0
DEN,Jeremy Crawshaw,defensive,1,0,0.0,0,0,0,0
DEN,John Franklin-Myers,defensive,25,12,7.5,6,0,15,0
DEN,Jonah Elliss,defensive,28,16,2.5,5,1,5,0
DEN,Jonathon Cooper,defensive,50,23,8.0,8,4,16,0
DEN,Jordan Jackson,defensive,7,3,0.0,0,0,1,0
DEN,Jordan Turner,defensive,7,1,0.0,0,0,1,0
DEN,Justin Strnad,defensive,58,23,4.5,5,3,8,0
DEN,Karene Reid,defensive,5,4,0.0,0,0,0,0
DEN,Kris Abrams-Draine,defensive,30,21,0.0,1,1,0,0
DEN,Luke Wattenberg,defensive,1,0,0.0,0,0,0,0
DEN,Malcolm Roach,defensive,41,15,4.0,3,0,5,0
DEN,Mike McGlinchey,defensive,1,1,0.0,0,0,0,0
DEN,Mitchell Fraboni,defensive,4,3,0.0,0,0,0,0
DEN,Nate Adkins,defensive,2,0,0.0,0,0,0,0
DEN,Nik Bonitto,defensive,46,31,14.0,14,1,28,0
DEN,P.J. Locke,defensive,16,9,0.0,1,3,0,0
DEN,Pat Bryant,defensive,4,3,0.0,0,0,0,0
DEN,Pat Surtain II,defensive,47,37,0.0,1,12,0,0
DEN,Que Robinson,defensive,12,6,0.5,3,1,3,0
DEN,Quinn Meinerz,defensive,1,0,0.0,0,0,0,0
DEN,Reese Taylor,defensive,2,2,0.0,0,0,0,0
DEN,Riley Moss,defensive,80,57,1.0,3,19,1,0
DEN,Talanoa Hufanga,defensive,106,67,2.0,6,11,3,0
DEN,Trent Sherfield,defensive,2,2,0.0,0,0,0,0
DEN,Troy Franklin,defensive,2,2,0.0,0,0,0,0
DEN,Tyler Badie,defensive,6,3,0.0,0,0,0,0
DEN,Zach Allen,defensive,38,14,7.0,4,6,47,0
