team,player,category,REC,YDS,AVG,TD,LONG,TGTS
GB,Bo Melton,receiving,4,107,15.5,1,45,13
GB,Chris Brooks,receiving,13,91,5.65,0,16,17
GB,Christian Watson,receiving,35,611,17.72,6,52,55
GB,Dontayvion Wicks,receiving,30,332,9.82,2,30,46
GB,Drake Dabney,receiving,1,3,3.0,0,3,2
GB,Emanuel Wilson,receiving,15,99,4.8,0,25,17
GB,Jakobie Keeney-James,receiving,2,15,7.5,0,8,2
GB,Jayden Reed,receiving,19,207,11.16,1,31,22
GB,John FitzPatrick,receiving,12,72,4.7,1,11,15
GB,Josh Jacobs,receiving,36,282,6.1,1,31,44
GB,Josh Whyle,receiving,5,36,6.0,1,21,6
GB,Luke Musgrave,receiving,24,252,9.44,0,26,31
GB,Malik Heath,receiving,6,86,13.34,0,37,7
GB,Matthew Golden,receiving,29,361,9.91,0,46,44
GB,Romeo Doubs,receiving,55,724,12.91,6,48,85
GB,Savion Williams,receiving,10,78,9.38,1,33,10
GB,Tucker Kraft,receiving,32,489,14.14,6,59,44
