team,player,category,FUM,LOST,REC
HOU,Azeez Al-Shaair,fumbles,0,0,1
HOU,C.J. Stroud,fumbles,2,0,1
HOU,Dalton Schultz,fumbles,1,0,0
HOU,Danielle Hunter,fumbles,0,0,1
HOU,Dare Ogunbowale,fumbles,1,1,1
HOU,Davis Mills,fumbles,1,0,0
HOU,Henry To'oTo'o,fumbles,0,0,1
HOU,Jaylen Reed,fumbles,0,0,1
HOU,Jaylin Smith,fumbles,0,0,1
HOU,Nico Collins,fumbles,1,1,0
HOU,Sheldon Rankins,fumbles,0,0,1
HOU,Tommy Togiai,fumbles,0,0,1
HOU,Tremon Smith,fumbles,1,1,0
HOU,Will Anderson Jr.,fumbles,0,0,2
HOU,Woody Marks,fumbles,1,0,3
