team,player,category,REC,YDS,AVG,TD,LONG,TGTS
HOU,Braxton Berrios,receiving,6,37,3.3,0,14,8
HOU,Brenden Bates,receiving,2,23,11.5,0,19,2
HOU,Cade Stover,receiving,12,76,5.55,0,11,16
HOU,Christian Kirk,receiving,28,239,6.65,1,47,52
HOU,Dalton Schultz,receiving,82,777,9.46,3,47,106
HOU,Dameon Pierce,receiving,0,0,0.0,0,0,1
HOU,Dare Ogunbowale,receiving,10,76,5.78,0,18,13
HOU,Harrison Bryant,receiving,2,7,1.75,0,5,6
HOU,Jared Wayne,receiving,2,20,10.0,0,17,2
HOU,Jawhar Jordan,receiving,7,34,5.95,0,14,7
HOU,Jayden Higgins,receiving,41,525,13.29,6,75,68
HOU,Jaylin Noel,receiving,26,292,8.4,2,44,35
HOU,Justin Watson,receiving,3,30,8.25,0,15,4
HOU,Nick Chubb,receiving,13,67,3.38,0,27,20
HOU,Nico Collins,receiving,71,1117,16.59,6,57,120
HOU,Woody Marks,receiving,24,208,7.17,3,50,36
HOU,Xavier Hutchinson,receiving,35,428,11.13,3,33,57
