team,player,category,CAR,YDS,AVG,TD,LONG
HOU,British Brooks,rushing,17,78,4.1,0,20
HOU,C.J. Stroud,rushing,48,209,5.79,1,30
HOU,Cade Stover,rushing,4,3,0.8,0,2
HOU,Dameon Pierce,rushing,10,26,2.35,0,10
HOU,Dare Ogunbowale,rushing,11,25,3.15,1,9
HOU,Davis Mills,rushing,13,60,5.37,1,14
HOU,Jawhar Jordan,rushing,43,193,3.82,0,50
HOU,Jaylin Noel,rushing,6,12,2.0,0,5
HOU,Nick Chubb,rushing,122,506,4.15,3,30
HOU,Nico Collins,rushing,2,15,7.5,1,8
HOU,Woody Marks,rushing,196,703,3.61,2,23
HOU,Xavier Hutchinson,rushing,3,22,7.33,0,9
