team,player,category,FUM,LOST
IND,Adetomiwa Adebawore,fumbles,0,0
IND,Adonai Mitchell,fumbles,1,1
IND,Ameer Abdullah,fumbles,1,1
IND,Bernhard Raimann,fumbles,0,0
IND,Cam Bynum,fumbles,0,0
IND,Charvarius Ward,fumbles,0,0
IND,Daniel Jones,fumbles,9,3
IND,Danny Pinter,fumbles,0,0
IND,Germaine Pratt,fumbles,0,0
IND,Jonathan Taylor,fumbles,2,1
IND,Josh Downs,fumbles,1,1
IND,Philip Rivers,fumbles,2,0
IND,Riley Leonard,fumbles,2,2
IND,Samson Ebukam,fumbles,0,0
IND,Tanor Bortolini,fumbles,1,0
IND,Tyler Warren,fumbles,1,0
IND,Xavien Howard,fumbles,0,0
