team,player,category,FUM,LOST
JAX,Andrew Wingard,fumbles,0,0
JAX,Anton Harrison,fumbles,0,0
JAX,B.J. Green II,fumbles,0,0
JAX,Bhayshul Tuten,fumbles,2,1
JAX,Danny Striggow,fumbles,0,0
JAX,Devin Lloyd,fumbles,0,0
JAX,Dyami Brown,fumbles,1,1
JAX,Emmanuel Ogbah,fumbles,0,0
JAX,Foyesade Oluokun,fumbles,0,0
JAX,Hunter Long,fumbles,1,0
JAX,Jakobi Meyers,fumbles,1,1
JAX,Jarrian Jones,fumbles,0,0
JAX,Jourdan Lewis,fumbles,0,0
JAX,LeQuint Allen Jr.,fumbles,0,0
JAX,Parker Washington,fumbles,2,0
JAX,Rayuan Lane III,fumbles,0,0
JAX,Travis Etienne Jr.,fumbles,1,0
JAX,Travis Hunter,fumbles,1,0
JAX,Trevor Lawrence,fumbles,5,3
