team,player,category,CAR,YDS,AVG,TD,LONG
JAX,Bhayshul Tuten,rushing,83,307,3.79,5,15
JAX,Brian Thomas Jr.,rushing,3,21,7.0,1,9
JAX,DeeJay Dallas,rushing,2,21,10.5,0,17
JAX,Dyami Brown,rushing,6,30,5.4,0,9
JAX,Jakobi Meyers,rushing,5,13,2.33,0,4
JAX,LeQuint Allen Jr.,rushing,23,94,4.48,0,12
JAX,Nick Mullens,rushing,12,-8,-0.68,0,0
JAX,Parker Washington,rushing,7,0,-1.18,0,5
JAX,Tank Bigsby,rushing,5,12,2.4,0,4
JAX,Travis Etienne Jr.,rushing,260,1107,4.2,7,71
JAX,Travis Hunter,rushing,1,0,0.0,0,0
JAX,Trevor Lawrence,rushing,82,359,4.69,9,21
