team,player,category,FUM,LOST,REC
KC,Brashard Smith,fumbles,1,0,1
KC,Chris Oladokun,fumbles,4,2,1
KC,Creed Humphrey,fumbles,1,0,0
KC,Drue Tranquill,fumbles,0,0,1
KC,George Karlaftis,fumbles,0,0,1
KC,Hollywood Brown,fumbles,1,0,0
KC,Isiah Pacheco,fumbles,0,0,1
KC,Jack Cochrane,fumbles,0,0,1
KC,Jerry Tillery,fumbles,0,0,1
KC,JuJu Smith-Schuster,fumbles,0,0,1
KC,Kareem Hunt,fumbles,2,1,1
KC,Kevin Knowles,fumbles,0,0,1
KC,Nikko Remigio,fumbles,2,0,1
KC,Patrick Mahomes,fumbles,3,0,3
KC,Rashee Rice,fumbles,2,0,1
KC,Travis Kelce,fumbles,1,0,0
KC,Trey Smith,fumbles,0,0,1
KC,Xavier Worthy,fumbles,0,0,1
