team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
LAC,Alohi Gilman,defensive,22,11,0.0,0,3,0,0
LAC,Austin Deculus,defensive,1,0,0.0,0,0,0,0
LAC,Benjamin St-Juste,defensive,37,22,0.0,0,7,0,0
LAC,Bud Dupree,defensive,16,9,2.0,2,1,3,0
LAC,Caleb Murphy,defensive,12,5,0.5,0,0,1,0
LAC,Cam Hart,defensive,48,37,0.0,0,11,1,0
LAC,Cameron Dicker,defensive,4,2,0.0,0,0,0,0
LAC,Clelin Ferrell,defensive,1,0,0.0,0,0,0,0
LAC,Da'Shawn Hand,defensive,29,18,1.5,5,4,5,0
LAC,Daiyan Henley,defensive,103,54,3.5,5,5,6,0
LAC,Deane Leonard,defensive,5,2,0.0,0,0,0,0
LAC,Del'Shawn Phillips,defensive,37,16,1.0,1,0,2,0
LAC,Denzel Perryman,defensive,47,30,0.0,4,3,0,0
LAC,Derwin James Jr.,defensive,94,50,2.0,6,7,8,0
LAC,Donte Jackson,defensive,24,16,0.0,1,12,0,0
LAC,Elijah Molden,defensive,52,28,0.0,0,1,0,0
LAC,Hassan Haskins,defensive,11,5,0.0,0,0,0,0
LAC,Ja'Sir Taylor,defensive,8,6,0.0,0,0,0,0
LAC,Jamaree Caldwell,defensive,31,14,1.0,5,1,1,0
LAC,Josh Harris,defensive,1,0,0.0,0,0,0,0
LAC,Justin Eboigbe,defensive,39,27,6.0,7,0,10,0
LAC,Justin Herbert,defensive,2,1,0.0,0,0,0,0
LAC,Keenan Allen,defensive,3,3,0.0,0,0,0,0
LAC,Kendall Williamson,defensive,14,8,0.0,0,0,0,0
LAC,Khalil Mack,defensive,32,19,5.5,6,0,11,0
LAC,Kimani Vidal,defensive,3,2,0.0,0,0,0,0
LAC,Kyle Kennard,defensive,2,1,0.0,0,0,0,0
LAC,Ladd McConkey,defensive,1,1,0.0,0,0,0,0
LAC,Marcus Maye,defensive,5,1,0.0,0,0,0,0
LAC,Marcus Williams,defensive,10,7,0.0,0,0,0,0
LAC,Marlowe Wax,defensive,21,11,0.0,1,0,0,0
LAC,Naquan Jones,defensive,10,6,0.0,1,1,0,0
LAC,Nikko Reed,defensive,2,1,0.0,0,1,0,0
LAC,Odafe Oweh,defensive,28,15,7.5,8,0,13,0
LAC,Omarion Hampton,defensive,1,1,0.0,0,0,0,0
LAC,Oronde Gadsden,defensive,1,0,0.0,0,0,0,0
LAC,Otito Ogbonnia,defensive,10,7,0.5,3,0,1,0
LAC,Quentin Johnston,defensive,1,1,0.0,0,0,0,0
LAC,RJ Mickens,defensive,29,18,0.0,0,2,0,0
LAC,Tarheeb Still,defensive,53,37,0.0,5,7,2,0
LAC,Teair Tart,defensive,32,22,0.0,4,4,1,0
LAC,Tony Jefferson,defensive,57,37,0.0,1,7,2,0
LAC,Troy Dye,defensive,58,28,1.0,5,4,1,0
LAC,Tuli Tuipulotu,defensive,49,35,13.0,20,3,23,0
