team,player,category,FUM,LOST,REC
LAC,Da'Shawn Hand,fumbles,1,1,0
LAC,Del'Shawn Phillips,fumbles,0,0,1
LAC,Derius Davis,fumbles,1,1,1
LAC,Justin Herbert,fumbles,7,2,3
LAC,Keenan Allen,fumbles,2,0,1
LAC,Kimani Vidal,fumbles,1,0,1
LAC,Omarion Hampton,fumbles,1,0,1
LAC,Oronde Gadsden,fumbles,1,1,0
LAC,Quentin Johnston,fumbles,1,1,0
LAC,Scott Matlock,fumbles,0,0,1
LAC,Teair Tart,fumbles,0,0,1
LAC,Trey Lance,fumbles,1,1,0
LAC,Troy Dye,fumbles,0,0,1
LAC,Tuli Tuipulotu,fumbles,0,0,1
LAC,Tyler Conklin,fumbles,1,0,0
