team,player,category,FUM,LOST,REC
LV,AJ Cole,fumbles,1,0,1
LV,Adam Butler,fumbles,0,0,1
LV,Alex Bachman,fumbles,1,0,1
LV,Ashton Jeanty,fumbles,2,1,0
LV,Darien Porter,fumbles,0,0,1
LV,Dylan Laube,fumbles,1,1,0
LV,Elandon Roberts,fumbles,0,0,1
LV,Geno Smith,fumbles,4,1,3
LV,JJ Pegues,fumbles,0,0,1
LV,Jordan Meredith,fumbles,1,0,0
LV,Kenny Pickett,fumbles,1,1,0
LV,Kyu Blu Kelly,fumbles,0,0,1
LV,Michael Mayer,fumbles,1,0,0
LV,Stone Forsythe,fumbles,0,0,1
LV,Thomas Booker IV,fumbles,0,0,1
LV,Tonka Hemingway,fumbles,0,0,1
LV,Tyree Wilson,fumbles,0,0,1
