team,player,category,REC,YDS,AVG,TD,LONG,TGTS
LV,Albert Okwuegbunam Jr.,receiving,5,36,7.2,0,16,6
LV,Alex Bachman,receiving,2,12,4.0,0,9,3
LV,Alex Cappa,receiving,0,0,0.0,0,0,1
LV,Ashton Jeanty,receiving,55,346,8.66,5,60,73
LV,Brock Bowers,receiving,64,680,12.22,7,38,86
LV,Carter Runyon,receiving,1,3,3.0,0,3,1
LV,Dont'e Thornton Jr.,receiving,10,135,8.36,0,36,30
LV,Dylan Laube,receiving,3,18,3.17,0,13,4
LV,Ian Thomas,receiving,13,114,9.31,0,20,13
LV,Jack Bech,receiving,20,224,9.73,0,37,29
LV,Jakobi Meyers,receiving,33,352,10.79,0,45,49
LV,Michael Mayer,receiving,35,328,8.66,1,23,50
LV,Raheem Mostert,receiving,12,70,6.06,0,18,12
LV,Shedrick Jackson,receiving,4,56,15.33,1,25,5
LV,Tre Tucker,receiving,57,696,11.4,5,61,92
LV,Tyler Lockett,receiving,22,221,8.05,1,33,34
LV,Zamir White,receiving,4,24,5.5,0,9,6
