team,player,category,FUM,LOST
MIA,Alec Ingold,fumbles,0,0
MIA,Bradley Chubb,fumbles,0,0
MIA,Dante Trader Jr.,fumbles,0,0
MIA,De'Von Achane,fumbles,1,0
MIA,Dee Eskridge,fumbles,1,1
MIA,Ethan Bonner,fumbles,0,0
MIA,Greg Dulcich,fumbles,1,1
MIA,Jaelan Phillips,fumbles,0,0
MIA,Jaylen Waddle,fumbles,1,0
MIA,Jaylen Wright,fumbles,2,1
MIA,Jordyn Brooks,fumbles,0,0
MIA,JuJu Brents,fumbles,0,0
MIA,Julian Hill,fumbles,0,0
MIA,Larry Borom,fumbles,0,0
MIA,Malik Washington,fumbles,1,1
MIA,Minkah Fitzpatrick,fumbles,0,0
MIA,Ollie Gordon II,fumbles,0,0
MIA,Patrick Paul,fumbles,0,0
MIA,Quinn Ewers,fumbles,3,0
MIA,Quinton Bell,fumbles,0,0
MIA,Tahj Washington,fumbles,1,1
MIA,Tua Tagovailoa,fumbles,8,1
MIA,Tyrel Dodson,fumbles,0,0
MIA,Zach Sieler,fumbles,0,0
