team,player,category,REC,YDS,AVG,TD,LONG,TGTS
MIA,Alec Ingold,receiving,8,52,5.69,0,22,11
MIA,Cedrick Wilson Jr.,receiving,5,44,7.33,0,16,9
MIA,Darren Waller,receiving,24,283,11.22,6,34,34
MIA,De'Von Achane,receiving,67,488,6.61,4,29,85
MIA,Dee Eskridge,receiving,4,62,7.9,0,40,7
MIA,Greg Dulcich,receiving,26,335,14.08,1,29,33
MIA,Jaylen Waddle,receiving,64,910,13.27,6,46,100
MIA,Jaylen Wright,receiving,5,44,7.1,0,18,9
MIA,Julian Hill,receiving,15,140,9.03,0,20,20
MIA,Malik Washington,receiving,46,317,7.49,3,28,65
MIA,Nick Westbrook-Ikhine,receiving,11,89,6.48,0,18,20
MIA,Ollie Gordon II,receiving,7,32,4.0,1,20,9
MIA,Quinn Ewers,receiving,1,-6,-6.0,0,-6,1
MIA,Tahj Washington,receiving,3,37,12.0,0,19,5
MIA,Tanner Conner,receiving,9,91,10.0,0,28,15
MIA,Theo Wease Jr.,receiving,6,139,31.23,1,63,10
MIA,Tyreek Hill,receiving,21,265,12.3,1,47,29
