team,player,category,FUM,LOST
MIN,Aaron Jones Sr.,fumbles,2,1
MIN,Andrew Van Ginkel,fumbles,0,0
MIN,Ben Yurosek,fumbles,0,0
MIN,Blake Brandel,fumbles,1,0
MIN,Byron Murphy Jr.,fumbles,0,0
MIN,Carson Wentz,fumbles,3,0
MIN,Harrison Smith,fumbles,0,0
MIN,Isaiah Rodgers,fumbles,0,0
MIN,J.J. McCarthy,fumbles,6,2
MIN,Jalen Nailor,fumbles,0,0
MIN,Jalen Redmond,fumbles,0,0
MIN,Javon Hargrave,fumbles,0,0
MIN,Jay Ward,fumbles,0,0
MIN,Jeff Okudah,fumbles,0,0
MIN,Jonathan Allen,fumbles,0,0
MIN,Jordan Mason,fumbles,3,1
MIN,Josh Oliver,fumbles,0,0
MIN,Max Brosmer,fumbles,2,1
MIN,Myles Price,fumbles,4,3
MIN,Theo Jackson,fumbles,0,0
MIN,Zavier Scott,fumbles,2,1
