team,player,category,CAR,YDS,AVG,TD,LONG
MIN,Aaron Jones Sr.,rushing,132,548,4.08,2,31
MIN,C.J. Ham,rushing,3,5,1.67,2,3
MIN,Cam Akers,rushing,5,19,3.8,0,14
MIN,Carson Wentz,rushing,11,57,4.82,0,16
MIN,J.J. McCarthy,rushing,37,181,5.99,4,26
MIN,Jalen Nailor,rushing,2,13,6.5,0,15
MIN,Jordan Addison,rushing,2,81,40.5,1,65
MIN,Jordan Mason,rushing,159,758,4.66,6,24
MIN,Justin Jefferson,rushing,2,7,3.5,0,4
MIN,Max Brosmer,rushing,7,11,1.25,0,11
MIN,T.J. Hockenson,rushing,1,0,0.0,0,0
MIN,Ty Chandler,rushing,17,47,2.85,0,5
MIN,Zavier Scott,rushing,32,114,3.62,0,11
