team,player,category,FUM,LOST,REC
NE,Anfernee Jennings,fumbles,0,0,1
NE,Antonio Gibson,fumbles,2,1,0
NE,Craig Woodson,fumbles,0,0,2
NE,Drake Maye,fumbles,8,3,5
NE,Elijah Ponder,fumbles,0,0,2
NE,Garrett Bradbury,fumbles,2,0,0
NE,Jack Gibbens,fumbles,0,0,1
NE,Jared Wilson,fumbles,0,0,1
NE,Jaylinn Hawkins,fumbles,0,0,1
NE,Joshua Farmer,fumbles,0,0,1
NE,K'Lavon Chaisson,fumbles,0,0,1
NE,Mack Hollins,fumbles,1,0,0
NE,Marcus Jones,fumbles,2,0,3
NE,Marte Mapu,fumbles,1,0,0
NE,Rhamondre Stevenson,fumbles,3,3,0
NE,TreVeyon Henderson,fumbles,1,1,1
NE,Will Campbell,fumbles,0,0,1
