team,player,category,REC,YDS,AVG,TD,LONG,TGTS
NE,Antonio Gibson,receiving,2,6,2.0,0,5,3
NE,Austin Hooper,receiving,21,263,11.59,2,31,26
NE,DeMario Douglas,receiving,31,447,14.99,3,58,46
NE,Drake Maye,receiving,1,2,2.0,0,2,1
NE,Efton Chism III,receiving,3,75,27.5,1,35,3
NE,Hunter Henry,receiving,60,768,13.1,7,36,87
NE,Jack Westover,receiving,1,0,0.0,0,0,2
NE,Kayshon Boutte,receiving,33,551,16.06,6,39,46
NE,Kyle Williams,receiving,10,209,15.7,3,72,21
NE,Mack Hollins,receiving,46,550,11.01,2,54,65
NE,Rhamondre Stevenson,receiving,32,345,8.83,2,55,37
NE,Stefon Diggs,receiving,85,1013,11.05,4,34,102
NE,Terrell Jennings,receiving,1,9,9.0,0,9,1
NE,TreVeyon Henderson,receiving,35,221,6.68,1,19,42
