team,player,category,FUM,LOST,REC
NO,Alvin Kamara,fumbles,2,2,0
NO,Cameron Jordan,fumbles,1,1,1
NO,Cesar Ruiz,fumbles,0,0,1
NO,Chase Young,fumbles,0,0,3
NO,Dante Pettis,fumbles,1,1,0
NO,Demario Davis,fumbles,0,0,1
NO,Dillon Radunz,fumbles,0,0,1
NO,Erik McCoy,fumbles,0,0,1
NO,Jonas Sanker,fumbles,0,0,1
NO,Jordan Howden,fumbles,0,0,1
NO,Juwan Johnson,fumbles,2,2,0
NO,Luke Fortner,fumbles,0,0,1
NO,Mason Tipton,fumbles,1,0,0
NO,Pete Werner,fumbles,0,0,3
NO,Rashid Shaheed,fumbles,1,1,0
NO,Spencer Rattler,fumbles,4,2,0
NO,Taysom Hill,fumbles,3,1,2
NO,Tyler Shough,fumbles,3,2,0
