team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
NYG,Aaron Stinnie,defensive,1,1,0.0,0,0,0,0
NYG,Abdul Carter,defensive,43,25,4.0,7,0,23,0
NYG,Art Green,defensive,11,6,0.0,0,0,0,0
NYG,Beau Brade,defensive,2,1,0.0,0,0,0,0
NYG,Beaux Collins,defensive,5,1,0.0,0,0,0,0
NYG,Bobby Okereke,defensive,143,78,1.0,2,6,1,0
NYG,Brian Burns,defensive,67,39,16.5,22,7,31,0
NYG,Chauncey Golston,defensive,20,13,1.0,5,0,1,0
NYG,Chris Board,defensive,3,2,0.0,0,0,0,0
NYG,Chris Manhertz,defensive,2,1,0.0,0,0,0,0
NYG,Cor'Dale Flott,defensive,38,27,0.0,3,11,0,0
NYG,DJ Davidson,defensive,9,6,0.0,1,1,0,0
NYG,Dalen Cambre,defensive,5,3,0.0,0,0,0,0
NYG,Dane Belton,defensive,120,60,2.0,3,5,2,0
NYG,Daniel Bellinger,defensive,1,1,0.0,0,0,0,0
NYG,Darius Alexander,defensive,20,9,3.5,4,1,6,0
NYG,Darius Muasau,defensive,51,24,1.0,2,1,1,0
NYG,Demetrius Flannigan-Fowles,defensive,33,21,1.0,3,1,1,0
NYG,Deonte Banks,defensive,31,24,0.0,2,5,0,1
NYG,Devin Singletary,defensive,1,1,0.0,0,0,0,0
NYG,Dexter Lawrence II,defensive,31,14,0.5,4,4,8,0
NYG,Dru Phillips,defensive,66,49,0.0,9,12,0,0
NYG,Elijah Chatman,defensive,3,1,0.0,0,0,0,0
NYG,Elijah Garcia,defensive,4,2,1.0,1,0,1,0
NYG,Jalin Hyatt,defensive,2,2,0.0,0,0,0,0
NYG,Jamie Gillan,defensive,1,1,0.0,0,0,0,0
NYG,Jarrick Bernard-Converse,defensive,4,0,0.0,0,0,0,0
NYG,Jermaine Eluemunor,defensive,1,1,0.0,0,0,0,0
NYG,Jevon Holland,defensive,63,38,0.0,0,5,0,0
NYG,Kayvon Thibodeaux,defensive,25,13,2.5,5,2,9,0
NYG,Korie Black,defensive,18,7,0.0,1,1,0,0
NYG,Malik Nabers,defensive,2,2,0.0,0,0,0,0
NYG,Micah McFadden,defensive,3,2,0.0,0,0,1,0
NYG,Neville Hewitt,defensive,12,5,0.0,0,0,0,0
NYG,Nic Jones,defensive,8,3,0.0,0,1,0,0
NYG,Paulson Adebo,defensive,73,56,0.0,1,8,0,0
NYG,Raheem Layne,defensive,9,7,0.0,1,0,0,0
NYG,Rakeem Nunez-Roches,defensive,23,6,3.0,3,1,4,0
NYG,Rico Payton,defensive,12,5,0.0,0,1,0,0
NYG,Roy Robertson-Harris,defensive,35,19,0.0,3,1,6,0
NYG,Swayze Bozeman,defensive,6,1,0.0,0,0,0,0
NYG,Thomas Fidone II,defensive,1,1,0.0,0,0,0,0
NYG,Tomon Fox,defensive,6,4,0.0,0,0,0,0
NYG,Tyler Nubin,defensive,78,49,0.0,7,2,0,1
NYG,Victor Dimukeje,defensive,3,1,0.0,0,1,0,0
NYG,Wan'Dale Robinson,defensive,1,1,0.0,0,0,0,0
NYG,Younghoe Koo,defensive,2,1,0.0,0,0,0,0
NYG,Zaire Barnes,defensive,29,17,1.0,2,0,1,0
