team,player,category,REC,YDS,AVG,TD,LONG,TGTS
NYG,Beaux Collins,receiving,2,25,8.33,0,18,6
NYG,Cam Skattebo,receiving,24,207,8.94,2,21,32
NYG,Chris Manhertz,receiving,1,7,3.5,0,7,2
NYG,Daniel Bellinger,receiving,19,286,11.71,2,44,26
NYG,Darius Slayton,receiving,37,538,14.43,1,52,63
NYG,Devin Singletary,receiving,18,151,7.03,0,41,19
NYG,Gunner Olszewski,receiving,10,145,13.95,1,28,13
NYG,Isaiah Hodgins,receiving,10,115,8.07,1,30,19
NYG,Jalin Hyatt,receiving,5,35,2.94,0,14,14
NYG,Jameis Winston,receiving,1,33,33.0,1,33,1
NYG,Lil'Jordan Humphrey,receiving,4,55,6.9,0,34,10
NYG,Malik Nabers,receiving,18,271,12.32,2,48,35
NYG,Ray-Ray McCloud III,receiving,1,5,5.0,0,5,1
NYG,Theo Johnson,receiving,45,528,11.2,5,42,74
NYG,Tyrone Tracy Jr.,receiving,36,288,6.02,2,42,48
NYG,Wan'Dale Robinson,receiving,92,1014,11.47,4,50,140
