team,player,category,FUM,LOST,REC
PHI,AJ Dillon,fumbles,1,1,0
PHI,Britain Covey,fumbles,2,0,2
PHI,Byron Young,fumbles,0,0,1
PHI,Cam Jurgens,fumbles,1,0,0
PHI,Grant Calcaterra,fumbles,0,0,1
PHI,Jaelan Phillips,fumbles,0,0,1
PHI,Jalen Hurts,fumbles,8,4,3
PHI,Jalyx Hunt,fumbles,0,0,1
PHI,Jihaad Campbell,fumbles,0,0,1
PHI,Kelee Ringo,fumbles,0,0,1
PHI,Quinyon Mitchell,fumbles,0,0,1
PHI,Reed Blankenship,fumbles,0,0,1
PHI,Saquon Barkley,fumbles,1,1,1
PHI,Will Shipley,fumbles,1,1,0
PHI,Xavier Gipson,fumbles,2,1,0
PHI,Zack Baun,fumbles,0,0,1
