team,player,category,CAR,YDS,AVG,TD,LONG
SEA,AJ Barner,rushing,10,14,1.5,1,2
SEA,Drew Lock,rushing,6,-5,-0.67,0,0
SEA,George Holani,rushing,22,73,3.28,1,9
SEA,Jacardia Wright,rushing,5,20,4.0,0,10
SEA,Jalen Milroe,rushing,3,4,1.33,0,3
SEA,Jaxon Smith-Njigba,rushing,7,36,5.74,0,11
SEA,Kenneth Walker III,rushing,221,1027,4.69,5,55
SEA,Myles Gaskin,rushing,3,6,2.0,0,3
SEA,Rashid Shaheed,rushing,7,64,9.0,0,31
SEA,Sam Darnold,rushing,35,95,4.09,0,24
SEA,Velus Jones Jr.,rushing,4,32,8.0,0,25
SEA,Zach Charbonnet,rushing,184,730,4.03,12,30
