team,player,category,FUM,LOST
TB,Antoine Winfield Jr.,fumbles,0,0
TB,Baker Mayfield,fumbles,11,3
TB,Benjamin Morrison,fumbles,0,0
TB,Bucky Irving,fumbles,1,1
TB,Elijah Roberts,fumbles,0,0
TB,Graham Barton,fumbles,1,0
TB,Jacob Parrish,fumbles,0,0
TB,Kameron Johnson,fumbles,2,0
TB,Lavonte David,fumbles,0,0
TB,Rachaad White,fumbles,0,0
TB,Rashad Wisdom,fumbles,0,0
TB,Ryan Miller,fumbles,0,0
TB,Sean Tucker,fumbles,2,0
TB,Sterling Shepard,fumbles,1,1
TB,Tristan Wirfs,fumbles,0,0
TB,Tykee Smith,fumbles,0,0
TB,Vita Vea,fumbles,0,0
