team,player,category,REC,YDS,AVG,TD,LONG,TGTS
TB,Bucky Irving,receiving,30,277,9.87,3,72,35
TB,Cade Otton,receiving,59,572,8.63,1,27,81
TB,Chris Godwin Jr.,receiving,33,360,10.37,2,59,51
TB,Devin Culp,receiving,1,6,6.0,1,6,1
TB,Emeka Egbuka,receiving,63,938,14.81,6,77,127
TB,Jalen McMillan,receiving,12,178,13.45,0,33,15
TB,Kameron Johnson,receiving,4,64,4.0,1,34,7
TB,Mike Evans,receiving,30,368,10.65,3,45,61
TB,Payne Durham,receiving,1,11,2.75,0,11,4
TB,Rachaad White,receiving,40,218,5.22,0,18,45
TB,Ryan Miller,receiving,2,34,8.5,1,20,4
TB,Sean Tucker,receiving,8,34,3.28,1,28,11
TB,Sterling Shepard,receiving,39,371,9.68,1,36,53
TB,Tez Johnson,receiving,28,322,9.66,5,45,44
TB,Tristan Wirfs,receiving,1,2,2.0,1,2,1
