team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
TEN,Ali Gaye,defensive,1,1,0.0,0,0,0,0
TEN,Amani Hooker,defensive,81,58,1.0,3,8,1,0
TEN,Arden Key,defensive,22,9,4.0,6,0,11,0
TEN,Bryce Oliver,defensive,1,1,0.0,0,0,0,0
TEN,C.J. Ravenell,defensive,6,1,0.0,0,0,0,0
TEN,Cedric Gray,defensive,164,97,1.0,7,4,3,0
TEN,Chig Okonkwo,defensive,1,1,0.0,0,0,0,0
TEN,Cody Barton,defensive,81,37,1.0,4,11,1,1
TEN,Dan Moore Jr.,defensive,1,1,0.0,0,0,0,0
TEN,Darrell Baker Jr.,defensive,55,39,0.0,0,7,0,0
TEN,David Martin-Robinson,defensive,10,5,0.0,0,0,0,0
TEN,Dorian Mausi,defensive,9,5,0.0,0,0,0,0
TEN,Dre'Mont Jones,defensive,26,13,4.5,5,0,9,0
TEN,Elic Ayomanor,defensive,1,1,0.0,0,0,0,0
TEN,Erick Hallett II,defensive,4,1,0.0,0,0,0,0
TEN,Gunnar Helm,defensive,1,1,0.0,0,0,0,0
TEN,Jalyn Armour-Davis,defensive,34,18,0.0,1,2,0,0
TEN,James Lynch,defensive,25,14,0.5,1,1,3,0
TEN,James Williams Sr.,defensive,26,22,1.0,3,0,1,0
TEN,Jarvis Brownlee Jr.,defensive,17,11,0.0,2,1,0,0
TEN,Jaylen Harrell,defensive,25,14,4.5,5,0,8,0
TEN,Jeffery Simmons,defensive,67,39,11.0,17,3,21,0
TEN,Jerrick Reed II,defensive,6,4,0.0,0,0,0,0
TEN,Jihad Ward,defensive,31,15,5.0,4,4,22,0
TEN,Joe Bachie,defensive,3,1,0.0,0,0,0,0
TEN,Joey Slye,defensive,5,3,0.0,0,0,0,0
TEN,Johnny Hekker,defensive,4,3,0.0,0,0,0,0
TEN,Jordan Mims,defensive,1,1,0.0,0,0,0,0
TEN,Julius Chestnut,defensive,17,10,0.0,0,0,0,0
TEN,Kaiir Elam,defensive,4,3,0.0,1,1,0,0
TEN,Kalel Mullings,defensive,3,1,0.0,0,0,0,0
TEN,Kemon Hall,defensive,9,9,0.0,2,0,0,0
TEN,Kendell Brooks,defensive,22,11,0.0,0,0,0,0
TEN,Kevin Winston Jr.,defensive,34,21,1.0,4,2,4,0
TEN,Kevin Zeitler,defensive,1,1,0.0,0,0,0,0
TEN,Kyzir White,defensive,3,2,0.0,0,0,0,0
TEN,L'Jarius Sneed,defensive,26,18,0.0,0,3,0,0
TEN,Marcus Harris,defensive,28,18,0.0,1,5,0,0
TEN,Mason Kinsey,defensive,5,4,0.0,0,0,0,0
TEN,Micah Robinson,defensive,14,8,0.0,1,2,0,0
TEN,Mike Brown,defensive,3,3,0.0,0,0,0,0
TEN,Oluwafemi Oladejo,defensive,13,5,0.0,2,0,2,0
TEN,Quandre Diggs,defensive,30,17,0.0,0,1,0,0
TEN,Roger McCreary,defensive,33,21,1.0,1,2,1,0
TEN,Samuel Womack III,defensive,4,2,0.0,0,1,0,0
TEN,Sanoussi Kane,defensive,7,3,0.0,0,0,0,0
TEN,Sebastian Joseph-Day,defensive,41,22,2.0,6,0,6,0
TEN,Shy Tuttle,defensive,11,6,0.0,1,0,0,0
TEN,T'Vondre Sweat,defensive,34,16,2.0,4,1,3,0
TEN,Truman Jones,defensive,11,4,1.5,2,1,2,0
TEN,Tyjae Spears,defensive,1,1,0.0,0,0,0,0
TEN,Tyler Lockett,defensive,0,0,0.0,0,0,0,1
TEN,Xavier Woods,defensive,39,23,1.0,0,3,0,0
