team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
WSH,Ale Kaho,defensive,4,3,0.0,0,0,0,0
WSH,Antonio Hamilton Sr.,defensive,18,12,0.0,0,2,0,0
WSH,Bobby Wagner,defensive,162,79,4.5,8,4,9,0
WSH,Chris Moore,defensive,4,4,0.0,0,0,0,0
WSH,Chris Rodriguez Jr.,defensive,2,2,0.0,0,0,0,0
WSH,Colson Yankoff,defensive,10,4,0.0,0,0,0,0
WSH,Darnell Savage,defensive,15,9,0.0,0,1,0,0
WSH,Daron Payne,defensive,46,20,3.0,7,5,8,0
WSH,DeMarcus Walker,defensive,2,0,0.0,0,0,0,0
WSH,Deatrich Wise Jr.,defensive,4,2,0.0,1,0,1,0
WSH,Deebo Samuel,defensive,5,4,0.0,0,0,0,0
WSH,Dorance Armstrong,defensive,24,16,5.5,7,0,7,0
WSH,Drake Jackson,defensive,3,1,0.0,0,0,0,0
WSH,Eddie Goldman,defensive,26,10,0.0,4,0,1,0
WSH,Frankie Luvu,defensive,86,42,3.0,5,6,6,0
WSH,Jacob Martin,defensive,39,17,5.5,3,1,18,0
WSH,Jalyn Holmes,defensive,21,5,0.0,0,0,1,0
WSH,Javon Kinlaw,defensive,43,24,0.0,5,0,3,0
WSH,Javontae Jean-Baptiste,defensive,6,2,1.0,1,0,1,0
WSH,Jayden Daniels,defensive,1,1,0.0,0,0,0,0
WSH,Jaylin Lane,defensive,1,1,0.0,0,0,0,0
WSH,Jer'Zhan Newton,defensive,38,21,5.0,4,1,9,0
WSH,Jeremy McNichols,defensive,1,1,0.0,0,0,0,0
WSH,Jeremy Reaves,defensive,91,57,1.0,5,7,2,0
WSH,John Bates,defensive,1,0,0.0,0,0,0,0
WSH,Jonathan Jones,defensive,41,30,1.0,1,5,1,0
WSH,Jordan Magee,defensive,54,31,0.0,3,1,0,0
WSH,Kain Medrano,defensive,5,3,0.0,0,0,0,0
WSH,Luke McCaffrey,defensive,5,2,0.0,0,0,0,0
WSH,Marshon Lattimore,defensive,27,16,0.0,1,7,0,0
WSH,Mike Sainristil,defensive,85,51,0.0,1,12,0,0
WSH,Nick Bellore,defensive,12,7,0.0,0,0,0,0
WSH,Noah Igbinoghene,defensive,35,22,1.0,1,5,2,0
WSH,Percy Butler,defensive,14,8,0.0,0,0,0,0
WSH,Preston Smith,defensive,24,8,0.5,2,1,6,0
WSH,Quan Martin,defensive,99,52,0.0,1,3,2,0
WSH,Ricky Barber,defensive,5,2,1.0,1,0,1,0
WSH,Sam Cosmi,defensive,1,0,0.0,0,0,0,0
WSH,Sheldon Day,defensive,13,6,0.0,0,0,1,0
WSH,Shy Tuttle,defensive,4,1,0.0,0,0,0,0
WSH,T.J. Maguranyanga,defensive,1,0,0.0,0,0,0,0
WSH,Tay Martin,defensive,1,1,0.0,0,0,0,0
WSH,Terry McLaurin,defensive,1,1,0.0,0,0,0,0
WSH,Trey Amos,defensive,32,19,0.0,1,6,0,0
WSH,Treylon Burks,defensive,2,1,0.0,0,0,0,0
WSH,Tyler Owens,defensive,13,9,0.0,0,0,0,0
WSH,Von Miller,defensive,26,16,9.0,6,0,15,0
WSH,Will Harris,defensive,38,22,1.0,1,3,0,0
