team,player,category,REC,YDS,AVG,TD,LONG,TGTS
WSH,Austin Ekeler,receiving,5,38,6.9,0,15,7
WSH,Ben Sinnott,receiving,11,114,11.65,1,36,13
WSH,Chris Moore,receiving,11,207,15.04,1,44,23
WSH,Chris Rodriguez Jr.,receiving,3,30,7.5,0,18,4
WSH,Colson Yankoff,receiving,2,18,6.0,0,14,3
WSH,Deebo Samuel,receiving,72,727,10.62,5,41,99
WSH,Jacoby Jones,receiving,1,25,25.0,0,25,1
WSH,Jacory Croskey-Merritt,receiving,9,68,4.35,0,28,13
WSH,Jaylin Lane,receiving,16,225,12.05,0,41,32
WSH,Jeremy McNichols,receiving,25,196,7.14,0,24,31
WSH,John Bates,receiving,11,103,9.11,1,22,16
WSH,Luke McCaffrey,receiving,11,203,19.89,3,50,15
WSH,Noah Brown,receiving,5,83,17.38,0,28,10
WSH,Robbie Chosen,receiving,5,53,8.67,0,17,9
WSH,Tay Martin,receiving,2,23,11.5,0,14,2
WSH,Terry McLaurin,receiving,38,582,16.08,3,56,60
WSH,Treylon Burks,receiving,10,130,8.79,1,37,22
